"Company","Date","Avg_Volatility","Max_Volatility","Min_Volatility"
"AMZN","2023-04-03","0.2623473965391821","0.8000030517578125","0.08709716796875"
"AMZN","2023-04-04","0.2644200447278145","0.7099990844726562","0.0901031494140625"
"AMZN","2023-04-05","0.2427806365184295","1.160003662109375","0.09220123291015625"
"AMZN","2023-04-06","0.2343894762870593","0.7399978637695312","0.0861053466796875"
"AMZN","2023-04-10","0.22220787635216346","0.9199981689453125","0.095001220703125"
"AMZN","2023-04-11","0.22138605362329727","0.8600006103515625","0.07940673828125"
"AMZN","2023-04-12","0.2768498934232272","1.0100021362304688","0.0749969482421875"
"AMZN","2023-04-13","0.24329073001176882","0.8050003051757812","0.0800018310546875"
"BABA","2023-04-03","0.3122148758325821","1.5199966430664062","0.100006103515625"
"BABA","2023-04-04","0.35984088213015825","1.5984954833984375","0.09000396728515625"
"BABA","2023-04-05","0.2960971930088141","1.0499954223632812","0.06510162353515625"
"BABA","2023-04-06","0.3152757302308694","1.1700057983398438","0.0800018310546875"
"BABA","2023-04-10","0.25038861005734175","1.6200027465820312","0.05339813232421875"
"BABA","2023-04-11","0.2795770107171474","2.625","0.0500030517578125"
"BABA","2023-04-12","0.3204483619103065","1.2399978637695312","0.09529876708984375"
"BABA","2023-04-13","0.2692982600285457","1.3798980712890625","0.06999969482421875"
"BBY","2023-04-03","0.13504937978891227","0.3572998046875","0.04999542236328125"
"BBY","2023-04-04","0.1630576696151342","0.5792999267578125","0.04999542236328125"
"BBY","2023-04-05","0.1540248577411358","0.5100021362304688","0.05500030517578125"
"BBY","2023-04-06","0.14062656500400642","0.5800018310546875","0.04000091552734375"
"BBY","2023-04-10","0.13828091743664864","0.5300064086914062","0.04000091552734375"
"BBY","2023-04-11","0.14395963228665865","0.660003662109375","0.0500030517578125"
"BBY","2023-04-12","0.15316166021885017","0.6949996948242188","0.04000091552734375"
"BBY","2023-04-13","0.12380189162034255","0.37160491943359375","0.0449981689453125"
"COST","2023-04-03","0.5881535456730769","1.529998779296875","0.239990234375"
"COST","2023-04-04","0.7101217416616586","2.1112060546875","0.303192138671875"
"COST","2023-04-05","0.7277045616736779","3.600006103515625","0.239990234375"
"COST","2023-04-06","0.9688654190454727","4.8900146484375","0.269989013671875"
"COST","2023-04-10","0.6139565492287661","2.389984130859375","0.209991455078125"
"COST","2023-04-11","0.6292775472005209","4.1400146484375","0.154998779296875"
"COST","2023-04-12","0.6891534267327725","1.779998779296875","0.1708984375"
"COST","2023-04-13","0.5348178178836138","1.639892578125","0.149993896484375"
"EBAY","2023-04-03","0.07583207350510818","0.21000289916992188","0.024997711181640625"
"EBAY","2023-04-04","0.08198058299529247","0.19000244140625","0.024997711181640625"
"EBAY","2023-04-05","0.08136049906412761","0.20999908447265625","0.034999847412109375"
"EBAY","2023-04-06","0.07588577270507812","0.3400001525878906","0.020000457763671875"
"EBAY","2023-04-10","0.072357422266251","0.4099998474121094","0.020000457763671875"
"EBAY","2023-04-11","0.07026422940767728","0.25","0.020000457763671875"
"EBAY","2023-04-12","0.09138865348620293","0.3300018310546875","0.022003173828125"
"EBAY","2023-04-13","0.07121775700495793","0.23999786376953125","0.020000457763671875"
"HD","2023-04-03","0.40700550568409455","2.345001220703125","0.10430908203125"
"HD","2023-04-04","0.4422165308243189","1.4495849609375","0.1400146484375"
"HD","2023-04-05","0.4496006109775641","1.694976806640625","0.110015869140625"
"HD","2023-04-06","0.38929513784555286","1.795013427734375","0.11981201171875"
"HD","2023-04-10","0.39542838854667467","2.009979248046875","0.117706298828125"
"HD","2023-04-11","0.3592220208583734","1.17999267578125","0.125"
"HD","2023-04-12","0.5389717297676282","2.5","0.1400146484375"
"HD","2023-04-13","0.45417550893930286","2.184906005859375","0.160003662109375"
"KR","2023-04-03","0.07155115176469852","0.21000289916992188","0.009998321533203125"
"KR","2023-04-04","0.06970019218249199","0.26000213623046875","0.02500152587890625"
"KR","2023-04-05","0.11867219973833133","0.8899993896484375","0.030002593994140625"
"KR","2023-04-06","0.06055098313551683","0.3300018310546875","0.0149993896484375"
"KR","2023-04-10","0.06385617378430489","0.2999992370605469","0.0149993896484375"
"KR","2023-04-11","0.0712115458953075","0.3300018310546875","0.020000457763671875"
"KR","2023-04-12","0.09391540136092748","0.6699981689453125","0.020000457763671875"
"KR","2023-04-13","0.06831892942770934","0.29000091552734375","0.01999664306640625"
"SHOP","2023-04-03","0.16703087244278345","0.4500007629394531","0.06999969482421875"
"SHOP","2023-04-04","0.1687322274232522","0.45989990234375","0.049999237060546875"
"SHOP","2023-04-05","0.17093722025553384","0.6086997985839844","0.06499862670898438"
"SHOP","2023-04-06","0.17432447580190805","0.9399986267089844","0.060001373291015625"
"SHOP","2023-04-10","0.16144116719563803","0.7400016784667969","0.05989837646484375"
"SHOP","2023-04-11","0.15431780692858574","0.529998779296875","0.060001373291015625"
"SHOP","2023-04-12","0.2712589655167017","1.5","0.10499954223632812"
"SHOP","2023-04-13","0.15790499173677885","0.6200027465820312","0.049999237060546875"
"TGT","2023-04-03","0.27297132443159056","1.5600128173828125","0.0600128173828125"
"TGT","2023-04-04","0.27886063013321316","0.850006103515625","0.07000732421875"
"TGT","2023-04-05","0.3302056728265224","1.3700103759765625","0.100006103515625"
"TGT","2023-04-06","0.3244474362104367","2.3400115966796875","0.1100006103515625"
"TGT","2023-04-10","0.31759897867838544","0.7050018310546875","0.1100006103515625"
"TGT","2023-04-11","0.26233184031951123","1.470001220703125","0.07000732421875"
"TGT","2023-04-12","0.33176500369340944","0.9949951171875","0.0800018310546875"
"TGT","2023-04-13","0.29039588341346156","1.1800079345703125","0.0949859619140625"
"WMT","2023-04-03","0.1669916006234976","0.5699920654296875","0.04998779296875"
"WMT","2023-04-04","0.17072413517878607","0.6100006103515625","0.06500244140625"
"WMT","2023-04-05","0.24800266363681892","1.350006103515625","0.07000732421875"
"WMT","2023-04-06","0.19257335173778045","1.875","0.0449981689453125"
"WMT","2023-04-10","0.1712358914888822","0.7328033447265625","0.0649871826171875"
"WMT","2023-04-11","0.16251608041616586","0.660003662109375","0.0457000732421875"
"WMT","2023-04-12","0.15872524946163863","0.529998779296875","0.0499114990234375"
"WMT","2023-04-13","0.1543299357096354","0.7100067138671875","0.048309326171875"
